S1:   24;PartNo:49;  casid:00000000cea00014	Time:2024-11-18 14:45:22
S2:   25;PartNo:49;  casid:00000000cea00015	Time:2024-11-18 14:46:42
S3:   26;PartNo:49;  casid:00000000cea00016	Time:2024-11-18 15:31:42
S4:   27;PartNo:49;  casid:00000000cea00017	Time:2024-11-18 15:31:42
S1:   28;PartNo:49;  casid:00000000cea00018	Time:2024-11-18 15:55:55
S3:   29;PartNo:49;  casid:00000000cea00019	Time:2024-11-18 15:55:55
S4:   30;PartNo:49;  casid:00000000cea0001a	Time:2024-11-18 15:55:55
S1:   31;PartNo:49;  casid:00000000cea0001b	Time:2024-11-18 15:56:03
S4:   32;PartNo:49;  casid:00000000cea0001c	Time:2024-11-18 15:56:03
S1:   33;PartNo:49;  casid:00000000cea0001d	Time:2024-11-18 15:56:14
S3:   34;PartNo:49;  casid:00000000cea0001e	Time:2024-11-18 15:56:14
S4:   35;PartNo:49;  casid:00000000cea0001f	Time:2024-11-18 15:56:14
S1:   36;PartNo:49;  casid:00000000cea00020	Time:2024-11-18 15:56:29
S2:   37;PartNo:49;  casid:00000000cea00021	Time:2024-11-18 15:56:29
S3:   38;PartNo:49;  casid:00000000cea00022	Time:2024-11-18 15:56:29
S4:   39;PartNo:49;  casid:00000000cea00023	Time:2024-11-18 15:56:29
S1:   40;PartNo:49;  casid:00000000cea00024	Time:2024-11-18 15:56:37
S3:   41;PartNo:49;  casid:00000000cea00025	Time:2024-11-18 15:56:37
S4:   42;PartNo:49;  casid:00000000cea00026	Time:2024-11-18 15:56:37
S1:   43;PartNo:49;  casid:00000000cea00027	Time:2024-11-18 15:56:45
S2:   44;PartNo:49;  casid:00000000cea00028	Time:2024-11-18 15:56:45
S3:   45;PartNo:49;  casid:00000000cea00029	Time:2024-11-18 15:56:45
S4:   46;PartNo:49;  casid:00000000cea0002a	Time:2024-11-18 15:56:45
S1:   47;PartNo:49;  casid:00000000cea0002b	Time:2024-11-18 15:56:53
S2:   48;PartNo:49;  casid:00000000cea0002c	Time:2024-11-18 15:56:53
S3:   49;PartNo:49;  casid:00000000cea0002d	Time:2024-11-18 15:56:53
S4:   50;PartNo:49;  casid:00000000cea0002e	Time:2024-11-18 15:56:53
S1:   51;PartNo:49;  casid:00000000cea0002f	Time:2024-11-18 15:57:00
S3:   52;PartNo:49;  casid:00000000cea00030	Time:2024-11-18 15:57:00
S4:   53;PartNo:49;  casid:00000000cea00031	Time:2024-11-18 15:57:00
S1:   54;PartNo:49;  casid:00000000cea00032	Time:2024-11-18 15:57:08
S2:   55;PartNo:49;  casid:00000000cea00033	Time:2024-11-18 15:57:08
S3:   56;PartNo:49;  casid:00000000cea00034	Time:2024-11-18 15:57:08
S4:   57;PartNo:49;  casid:00000000cea00035	Time:2024-11-18 15:57:08
S1:   58;PartNo:49;  casid:00000000cea00036	Time:2024-11-18 15:57:16
S2:   59;PartNo:49;  casid:00000000cea00037	Time:2024-11-18 15:57:16
S3:   60;PartNo:49;  casid:00000000cea00038	Time:2024-11-18 15:57:16
S4:   61;PartNo:49;  casid:00000000cea00039	Time:2024-11-18 15:57:16
S1:   62;PartNo:49;  casid:00000000cea0003a	Time:2024-11-18 15:57:24
S3:   63;PartNo:49;  casid:00000000cea0003b	Time:2024-11-18 15:57:24
S4:   64;PartNo:49;  casid:00000000cea0003c	Time:2024-11-18 15:57:24
S1:   65;PartNo:49;  casid:00000000cea0003d	Time:2024-11-18 15:57:31
S3:   66;PartNo:49;  casid:00000000cea0003e	Time:2024-11-18 15:57:31
S4:   67;PartNo:49;  casid:00000000cea0003f	Time:2024-11-18 15:57:31
S1:   68;PartNo:49;  casid:00000000cea00040	Time:2024-11-18 15:57:39
S2:   69;PartNo:49;  casid:00000000cea00041	Time:2024-11-18 15:57:39
S3:   70;PartNo:49;  casid:00000000cea00042	Time:2024-11-18 15:57:39
S4:   71;PartNo:49;  casid:00000000cea00043	Time:2024-11-18 15:57:39
S1:   72;PartNo:49;  casid:00000000cea00044	Time:2024-11-18 15:57:47
S2:   73;PartNo:49;  casid:00000000cea00045	Time:2024-11-18 15:57:47
S3:   74;PartNo:49;  casid:00000000cea00046	Time:2024-11-18 15:57:47
S4:   75;PartNo:49;  casid:00000000cea00047	Time:2024-11-18 15:57:47
S1:   76;PartNo:49;  casid:00000000cea00048	Time:2024-11-18 15:57:55
S2:   77;PartNo:49;  casid:00000000cea00049	Time:2024-11-18 15:57:55
S3:   78;PartNo:49;  casid:00000000cea0004a	Time:2024-11-18 15:57:55
S4:   79;PartNo:49;  casid:00000000cea0004b	Time:2024-11-18 15:57:55
S1:   80;PartNo:49;  casid:00000000cea0004c	Time:2024-11-18 15:58:02
S3:   81;PartNo:49;  casid:00000000cea0004d	Time:2024-11-18 15:58:02
S4:   82;PartNo:49;  casid:00000000cea0004e	Time:2024-11-18 15:58:02
S1:   83;PartNo:49;  casid:00000000cea0004f	Time:2024-11-18 15:58:10
S2:   84;PartNo:49;  casid:00000000cea00050	Time:2024-11-18 15:58:10
S3:   85;PartNo:49;  casid:00000000cea00051	Time:2024-11-18 15:58:10
S4:   86;PartNo:49;  casid:00000000cea00052	Time:2024-11-18 15:58:10
S1:   87;PartNo:49;  casid:00000000cea00053	Time:2024-11-18 15:58:19
S3:   88;PartNo:49;  casid:00000000cea00054	Time:2024-11-18 15:58:19
S4:   89;PartNo:49;  casid:00000000cea00055	Time:2024-11-18 15:58:19
S1:   90;PartNo:49;  casid:00000000cea00056	Time:2024-11-18 15:58:26
S3:   91;PartNo:49;  casid:00000000cea00057	Time:2024-11-18 15:58:26
S4:   92;PartNo:49;  casid:00000000cea00058	Time:2024-11-18 15:58:26
S1:   93;PartNo:49;  casid:00000000cea00059	Time:2024-11-18 15:58:34
S2:   94;PartNo:49;  casid:00000000cea0005a	Time:2024-11-18 15:58:34
S3:   95;PartNo:49;  casid:00000000cea0005b	Time:2024-11-18 15:58:34
S4:   96;PartNo:49;  casid:00000000cea0005c	Time:2024-11-18 15:58:34
S1:   97;PartNo:49;  casid:00000000cea0005d	Time:2024-11-18 15:58:41
S2:   98;PartNo:49;  casid:00000000cea0005e	Time:2024-11-18 15:58:41
S3:   99;PartNo:49;  casid:00000000cea0005f	Time:2024-11-18 15:58:41
S4:  100;PartNo:49;  casid:00000000cea00060	Time:2024-11-18 15:58:41
S1:  101;PartNo:49;  casid:00000000cea00061	Time:2024-11-18 15:58:49
S2:  102;PartNo:49;  casid:00000000cea00062	Time:2024-11-18 15:58:49
S3:  103;PartNo:49;  casid:00000000cea00063	Time:2024-11-18 15:58:49
S4:  104;PartNo:49;  casid:00000000cea00064	Time:2024-11-18 15:58:49
S1:  105;PartNo:49;  casid:00000000cea00065	Time:2024-11-18 15:58:57
S2:  106;PartNo:49;  casid:00000000cea00066	Time:2024-11-18 15:58:57
